table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
decision_and_actions_audit,TABLE,Decision and actions property changes,rev_type,2,smallint,f,,"Type of change; 0 -> entity was created, 1 -> entity was updated, 2 -> entity was deleted",NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,decision_and_actions_id,3,uuid,f,,Audit history of decision_and_actions.decision_and_actions_id. Holds the value as at this revision.,NONE,Y,
decision_and_actions_audit,TABLE,Decision and actions property changes,conclusion,4,text,t,,Audit history of decision_and_actions.conclusion. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,outcome_id,5,bigint,t,,Audit history of decision_and_actions.outcome_id. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,signed_off_by_role_id,6,bigint,t,,Audit history of decision_and_actions.signed_off_by_role_id. Holds the value as at this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,recorded_by,7,character varying(64),t,,Audit history of decision_and_actions.recorded_by. Holds the value as at this revision.,STAFF,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,recorded_by_display_name,8,character varying(255),t,,Audit history of decision_and_actions.recorded_by_display_name. Holds the value as at this revision.,STAFF,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,date,9,date,t,,Audit history of decision_and_actions.date. Holds the value as at this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,next_steps,10,text,t,,Audit history of decision_and_actions.next_steps. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,actions,11,character varying[],t,,Audit history of decision_and_actions.actions. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,action_other,12,text,t,,Audit history of decision_and_actions.action_other. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,conclusion_modified,19,boolean,t,,Whether conclusion was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,outcome_modified,20,boolean,t,,Whether outcome was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,signed_off_by_modified,21,boolean,t,,Whether signed off by was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,recorded_by_modified,22,boolean,t,,Whether recorded by was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,recorded_by_display_name_modified,23,boolean,t,,Whether recorded by display name was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,date_modified,24,boolean,t,,Whether date was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,next_steps_modified,25,boolean,t,,Whether next steps was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,actions_modified,26,boolean,t,,Whether actions was changed in this revision.,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,action_other_modified,27,boolean,t,,Whether action other was changed in this revision.,NONE,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,identified_need_id,1,uuid,f,,Public primary key,NONE,Y,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,plan_id,2,uuid,f,,Parent plan foreign key which is the shared primary key with csip_record and therefore uses the same value as csip_record.record_id,NONE,N,plan
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,identified_need,3,text,f,,Details of the need identified in the CSIP plan. Maps to OFFENDER_CSIP_PLANS.IDENTIFIED_NEED which has a 1000 character limit,SPECIAL-CATEGORY,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,responsible_person,4,character varying(100),f,,The name of the person who is responsible for taking action on the intervention. Free text so not guaranteed to match any user information. Maps to OFFENDER_CSIP_PLANS.BY_WHOM which has a 100 character limit,STAFF,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,created_date,5,date,f,,The date the need was identified. Maps to OFFENDER_CSIP_PLANS.CREATE_DATE,NONE,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,target_date,6,date,f,,The target date the need should be progressed or resolved. Maps to OFFENDER_CSIP_PLANS.TARGET_DATE,NONE,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,closed_date,7,date,t,,The date the identified need was resolved and closed. Maps to OFFENDER_CSIP_PLANS.CLOSED_DATE,NONE,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,intervention,8,text,f,,The planned intervention for the identified need. Maps to OFFENDER_CSIP_PLANS.INTERVENTION which has a 4000 character limit,SPECIAL-CATEGORY,N,
identified_need,TABLE,The needs identified in the plan or at subsequent reviews. Includes the plan to resolve the identified need and the progression of that plan,progression,9,text,t,,How the plan to address the identified need is progressing. Maps to OFFENDER_CSIP_PLANS.PROGRESSION which has a 4000 character limit,SPECIAL-CATEGORY,N,
