column_ref,code,description,notes
"reference_data.contributory_factor_type","DEB","Debt",""
"reference_data.contributory_factor_type","FTC","First time in custody",""
"reference_data.contributory_factor_type","GAN","Gang related",""
"reference_data.contributory_factor_type","CFT_INACT","Inactive contributory factor","deactivated - retained for historic records"
"reference_data.contributory_factor_type","MED","Medication",""
"reference_data.contributory_factor_type","MEN","Mental health",""
"reference_data.contributory_factor_type","PIS","Psychoactive or illicit substance",""
"reference_data.contributory_factor_type","RAC","Racially motivated",""
"reference_data.contributory_factor_type","REL","Religiously motivated",""
"reference_data.contributory_factor_type","SEX","Sexually motivated",""
"reference_data.contributory_factor_type","SMO","Smoking withdrawal",""
"reference_data.contributory_factor_type","STA","Staff issues",""
"reference_data.contributory_factor_type","NRT","Vaporiser or NRT debt",""
"reference_data.decision_outcome_type","CUR","Progress to CSIP",""
"reference_data.decision_outcome_type","OT_INACT","Inactive outcome type","deactivated - retained for historic records"
"reference_data.decision_outcome_type","WIN","Support outside of CSIP",""
"reference_data.decision_outcome_type","ACC","ACCT supporting","deactivated - retained for historic records"
"reference_data.decision_outcome_type","NFA","No further action",""
"reference_data.decision_signer_role","CUSTMAN","Custodial Manager",""
"reference_data.decision_signer_role","THEHOFF","Head of Function",""
"reference_data.decision_signer_role","OTHER","Another staff member",""
"reference_data.decision_signer_role","DSR_INACT","Inactive decision signer role","deactivated - retained for historic records"
"reference_data.incident_involvement","II_INACT","Inactive incident involvement","deactivated - retained for historic records"
"reference_data.incident_involvement","PER","Perpetrator",""
"reference_data.incident_involvement","VIC","Victim",""
"reference_data.incident_involvement","WIT","Witness",""
"reference_data.incident_involvement","OTH","Other",""
"reference_data.incident_location","EDU","Education",""
"reference_data.incident_location","EXY","Exercise yard",""
"reference_data.incident_location","GRO","Grounds",""
"reference_data.incident_location","GYM","Gym",""
"reference_data.incident_location","HEA","Health care",""
"reference_data.incident_location","IL_INACT","Inactive incident location","deactivated - retained for historic records"
"reference_data.incident_location","KIT","Kitchen",""
"reference_data.incident_location","LIB","Library",""
"reference_data.incident_location","MUF","Multi-faith",""
"reference_data.incident_location","NOI","No incident",""
"reference_data.incident_location","OMU","OMU",""
"reference_data.incident_location","OTH","Other",""
"reference_data.incident_location","REC","Reception",""
"reference_data.incident_location","VIS","Visits",""
"reference_data.incident_location","WIC","Wing - cell",""
"reference_data.incident_location","WIL","Wing - landing",""
"reference_data.incident_location","WOR","Workshop",""
"reference_data.incident_type","ATO","Abuse or threats - other",""
"reference_data.incident_type","ATS","Abuse or threats - staff",""
"reference_data.incident_type","FTE","Failure to engage",""
"reference_data.incident_type","FEB","Frequent or escalating behaviour",""
"reference_data.incident_type","FPB","Frequent periods on Basic",""
"reference_data.incident_type","IT_INACT","Inactive incident type","deactivated - retained for historic records"
"reference_data.incident_type","INT","Intimidation",""
"reference_data.incident_type","ISO","Isolation",""
"reference_data.incident_type","MDO","Multiple disciplinary offences",""
"reference_data.incident_type","OTH","Other",""
"reference_data.incident_type","PRS","Prisoner statement",""
"reference_data.incident_type","RPS","Repeat periods of segregation",""
"reference_data.incident_type","SEC","Security intelligence",""
"reference_data.incident_type","SEX","Sexual assault",""
"reference_data.incident_type","THR","Threats - staff",""
"reference_data.incident_type","UWI","Unwitnessed injury",""
"reference_data.incident_type","VPA","Violence - prisoner assault",""
"reference_data.incident_type","VPF","Violence - prisoner fight",""
"reference_data.incident_type","VSA","Violence - staff assault",""
"reference_data.incident_type","VIP","VIPER score",""
"reference_data.incident_type","WIT","Witness",""
"reference_data.interviewee_role","IR_INACT","Inactive interviewee role","deactivated - retained for historic records"
"reference_data.interviewee_role","PERP","Perpetrator",""
"reference_data.interviewee_role","VICTIM","Victim",""
"reference_data.interviewee_role","WITNESS","Witness",""
"reference_data.interviewee_role","OTHER","Other",""
"reference_data.screening_outcome_type","CUR","Progress to CSIP",""
"reference_data.screening_outcome_type","OT_INACT","Inactive outcome type","deactivated - retained for historic records"
"reference_data.screening_outcome_type","OPE","Progress to investigation",""
"reference_data.screening_outcome_type","WIN","Support outside of CSIP",""
"reference_data.screening_outcome_type","ACC","Support through ACCT","deactivated - retained for historic records"
"reference_data.screening_outcome_type","NFA","No further action",""
"reference_data.status","AWAITING_DECISION","Awaiting decision",""
"reference_data.status","CSIP_CLOSED","CSIP closed",""
"reference_data.status","CSIP_OPEN","CSIP open",""
"reference_data.status","INVESTIGATION_PENDING","Investigation pending",""
"reference_data.status","NO_FURTHER_ACTION","No further action",""
"reference_data.status","PLAN_PENDING","Plan pending",""
"reference_data.status","REFERRAL_PENDING","Referral pending",""
"reference_data.status","REFERRAL_SUBMITTED","Referral submitted",""
"reference_data.status","SUPPORT_OUTSIDE_CSIP","Support outside of CSIP",""
"reference_data.status","ACCT_SUPPORT","Support through ACCT",""
